Product_name,Price,PricePer100g,Weight,Text
Trafo,1.79,1.43,125,"Trafo. Bio-organic snacks. Bio organic potato chips natural. Verantwoord lekker! Trafo biologische chips worden in een klein familiebedrijf op ambachtelijke wijze gebakken. door een productie die wekelijks wordt afgestemd op de behoefte, kunnen wij u steeds krakend verse chips aanbieden. Wij verwerken de beste chipsaardappelrassen, geteeld in vruchtbare biologische aarde. We bakken in 100% ongeharde biologische zonnebloemolie. Natürlich lecker. Unsere Bio Kartoffel Chips werden in unserem Familienbetrieb nach alter Tradition gebacken. Wir verwenden nur die besten Kartoffelsorten, die in fruchtbaren Boden biologisch angebaut werden. Dabei bevorzugen wir regionale Kartoffeln aus den Niederlanden oder Deutschland. Wir verwenden zu 100% ungehärtetes biologisches Sonnenblumenöl. Delicious and pure. Our organic potato crisps are made in a traditional way in a small family business. We us selected potatoes, grown in fertile organic land. We fry them in organic sunflower iol (100% non hydrogenated). Delicieux et naturel. Nos bio potato chips sont preparees dans une petite entreprise familiale traditionelle. Par une production hebdomadaire, nous puvons vous proposer des chips fraiches et croustillantes. Nous utilisons des pommes de terre selectionnees issues de culture biologique. Nous utilisons une huile de tournesol biologique, 100% non hydrogenee. Deliziose. Le nostre patatine sono fritte in modo tradizionale utilizzando patate selezionate coltivate in fertili terreni secondo le norme dell'agricultura biologica. La frittura avviene in olio di girasole. Deliciosas e naturais. Le nostre patatine sono fritte in modo tradizionale utilizzando patate selezionate coltivate in fertili terreni secondo le norme dell'agricultura biologica. La frittura avviene in olio di girasole. Trafo. Bio-organic snacks. Kartoffelchips. Potato crisps. Aardappelchips. Chips de pommes de terre. Patatine. Patatas fritas. Kartofler snack. Potatis chips. Potetchips. Batatas fritas. TTatatakia. Aus kontrolliert biologischem Anbau. Certified organically grown. Gecontroleerde biologische teelt. De culture biologique controlee. Agricoltura biologica certificata. Cultivo ecologico certificado. okologisk landbrug. In kontrollerad biologisk odling. In kontrollerad biologisk odling. Biologisk. Agricultura Biologica Controlada. This product is gluten free."
HandCookedChips,2.29,1.82,125,"Thick cut. Bio-organic hand cooked chips. Seasalt. Slow and longer fried than regular chips. Low temperature, fried at max 165 degrees. More bite and taste. Handgefertigte Chips gesalzen. Handcooked chips salted. Handcooked chips salted. Handcooked chips salted. Patata fritte. Handcooked chips salted. Handgjorda Potatischips med salt. Handlavede chips med salt. Handcooked chips salted."
DeRit,2.49,1.99,125,"Aus besten Anbaugebieten. 1969. De Rit organics. Kartoffelchips schonend mit Schale gebacken. Potato crisps. Meersalz. Sea salt. Für unsere knusprigen Kartoffelchips verwenden wir feinste Kartoffelsorten aus kontrolliert biologischem Anbau. In hochwertigem kaltgepressten High Oleic Sonnenblumenöl (von Natur aus reich an einfach ungesättigten Fettsäuren) werden die Chips schonend in der Schale gebacken. Verfeinert mit einer Prise Meersalz ein knuspriger Knabbergenuss. Voor ouze knapperige aardoppelchips gebruiken wij de fjonte aardoppelsoorten nit gecontroleerd biologische teelt. In hoogwaardige koudgepresste High Oleic zonnebloemolie (van nature rijke aan enkelvoudig ouverzadigde verzuren) worden de chips zachtjes in de schil gebakken. Verfijnd met een snufje zeezout voor knapperig knabbelgenot. Pour nos chips de pomme de terre croustillantes, nous utilisons les varietes de pomme de terre les plus exquises issues de l'agriculture biologique controlee. Ces chips sout fus doucement avec la peau dans une excellente huile de tournesol High Oleic pressee a froid (naturellement riche en acides mono-insatures). Un plaisir croustillant inedit agremente d'une pincee de sel marin. We use the finest organic-certified potato varieties for our crispy potato chips. The chips are gently baked with peel in high-quality, cold-pressed High Oleic sunflower oil (inherently rich in mono-saturated fatty acids). Refined with a pinch of sea salt they're a delicious crispy snack. Aus kontrolliert biologischem Anbau. Van gecontroleerd biologische teelt. Issurde l'agriculture biologique controlee. Verified organically grown. Kartoffelchips mit Meersalz. Aardoppelchips me zeezout. Chips de pommes de terre au sel marin. Potato crisps with sea salt. 1969. De Rit organics."
FeurichChips,0.69,0.35,200,"Feurich. Chips Paprika Geschmack. Kartoffelchips mit Paprika-Geschmack. Feurich. Chips Paprika Geschmack."
Tyrrells,2.29,1.53,150,"Tyrrell's. hand-cooked English crisps. sea salt and black pepper. Best ever recipe. Est Herefordshire, England. Tyrrell's. hand-cooked English crisps. sea salt and cracked black pepper. A time-honoured marriage: sea salt and that most cracking of spices. They're made with the finest local potatoes, complete with jackets, hand-cooked in small batches and spun to achieve our signature crunch. Kartoffelchips gewürzt mit Meersalz und grob gemahlenem schwarzen Pfeffer. Sea salt & cracked black pepper seasoned potato crisps. Chips de pommes de terre assaisonnees au sel de mer et au poivre noir concasse. Aardappelchips gekruid met zeezout en grofgenamen zwarte peper. Patatas fritas con savor a sal marina y pimienta negra. Batata frita temperada com sal marinho e pimenta-preta. Patatine fritte al sale marino e al pepe nero pestato. Potetchips/kartoffelchips med smak av havsalt of kvergs pepper/knust sort peber. Potatischips med smak av hvssalt och krossad svartpeppar. Gluten free. Suitable for vegans. No artificial ingredients. England Rugby Official Crisp."
JA,0.69,0.35,200,"ja! Kartoffelchips mit Paprika-Geschmack. Kartoffel-Chips mit Paprikageschmack."
Chio,1.99,1,200,"Chio. Red Paprika Chips. Mit reinem Sonnenblumenöl. Ausgewählte Gewürze. Chio. Das Chio-Qualitätsversprechen für Premium Genuss - beste Zutaten. Ohne geschmacksverstärkende Zusatzstoffe. Ohne künstliche Farbstoffe. Beste Kartoffeln aus kontrolliertem Anbau. Reines Sonnenblumenöl. Unvergleichliche Gewürzrezepturen. Für den einzigartigen Chio Geschmack. Für Vegetarier geeignet. Suitable for vegetarians. Adecuado para los vegetarianos. Convient aux vegetariens. Adatto ai vegetariani. Geschikt voor vegetariers. Glutenfrei. Gluten free. Sin gluten. Sans gluten. Senza glutine. Glutenvrij. Kartoffelchips mit Paprika-Geschmack. Potato chips with paprika flavour. Patatas fritas con sabor a pimenton. Chips de pommes de terre au gout de paprika. Patatine al gusto di paprica. Aardappelchips met paprikasmaak."
WorldOfChips,0.79,0.64,125,"World of Chips. Meersalz und Pfeffer Potato Crisps. Knusprige Kartoffelchips mit Meersalz & Pfeffer. Sprode kartoffelchips med havsalt. Chrupiace chipsy ziemniaczane z sola morska i pieprzem. Smazene bramborove lupinky s morskou soli peprem."
Classic,0.89,0.6,150,"Classic. Kesselchips. Mit Schale gebacken. Kross und knusprig. Im Kessel gebacken. Salt & Vinegar. Mit Sonnenblumenöl. Classic. Kesselchips. Kartoffelchips mit Schale gebacken, mit Salz- und Essiggeschmack. Unsere Zufriedenheitsgarantie. K-Classic ist Qualität - garantiert. Das Geheimnis unserer knusprigen K-Classic Kesselchips liegt in ihrem Herstellungsverfahren. Für unsere Chips werden ausgesuchte Kartoffeln verwendet und inklusive Schale besonders dick geschnitten. Im Kessel backen sie ausschließlich in Sonnenblumenöl und werden noch von Hand gerührt. Der unvergleichliche Geschmack der K-Classic Kesselchips kommt durch ihre feine Würzung. K-Classic Kesselchips - ein besonderer Genuss. Mit wertvollem Sonnenblumenöl. K-Classic legt bei seinen Produkten Wert auf ausgesuchte Zutaten, die regelmäßig kontrolliert werden. Für die Herstellung der K-Classic Kesselchips wird Sonnenblumenöl eingesetzt. Dieses ist von Natur aus reich an ungesättigten Fettsäuren."
Lisas,1.99,1.81,110,"Lisa's Bio Kesselchips. Rosmarin & Meersalz. Craft chips. Lisa's Bio Kesselchips. Handgekochte Chips mit Charakter. Wir kochen unsere Chips im Kessel und verwenden dafür nur die besten Zutaten. Bio. Glutenfrei. Vegan. Rohstoffe aus kontrolliert biologischem Anbau. Raw materials from controlled organic cultivation. Issu de l'agriculture biologique. Materia prima da coltivazioni biologiche. Hergestellt in Deutschland. Made in Germany. Fabrique en Allemagne. Prodotto in Germania. Bio-Kartoffelchips mit Rosmarin und Meersalz. Organic potato chips with rosemary and sea salt. Chips de pomme de terre bio avec du romarin et du sel marin. Palatine biologica con rosmarino e sale marino. Gekocht von David. In Kessel Nr 4."
GutUndGünstigChips,0.69,0.35,200,"Gut & Günstig. Chips Paprika. Mit Sonnenblumenöl. Goldener Preis 2017. DLG. Gut & Günstig. Chips Paprika. Kartoffelchips mit Paprikageschmack."
GutUndGünstigKessel,0.89,0.59,150,"Gut & Günstig. Kessel Chips. Knusprig im Kessel frittiert. Sea salt & vinegar. Extra dicke Scheiben. Goldener Preis 2017. DLG. Gut & Günstig. Kessel Chips. Sea salt & vinegar. Das Außergewöhnliche der Gut & Günstig Kesselchips ist ihr besonders krosser Biss, der Chipsfans begeistert. Dazu werden extra dicke Kartoffelscheiben bei niedrigen Temperaturen besonders lang frittiert, bis sie wunderbar knusprig sind. Zusammen mit der raffinierten Würzung entsteht so ein intensives und sehr knuspriges Geschmackserlebnis. Ohne Hefeextrakt. Kartoffelchips in Schale geröstet mit Meersalz und Essig-Geschmack. Im Kessel frittiert. Extra knusprig durch dicke Scheiben."
